Category,Item,Description,Price,idx,side
Indian Meals,Butter Chicken Curry (of cashew nut sauce)with Rice,"Chicken cooked with rich tomato sauce, cashew nut,Indian spices ,butter and fresh cream . 1 serving.",US$14.99,1,left
Indian Meals,Hyderabadi Biryani (Chicken),"Extra long grain and aged Basmati rice from the foothills of Himalayas, cooked chicken on the bone then marinated in yogurt and spices and steamed cooked to retain all the flavors in it . Must try its really taste great .",US$14.99,1,left
Indian Meals,Paneer Butter Masala with Rice,"Cottage cheese cubes cooked with tangy tomato, cashew nut sauce, Indian spices, unsalted butter, onions and cream.",US$15.99,1,left
Indian Meals,Tandoori Chicken Half Portion,Half portion of chicken leg and thigh grilled on char coal fire with Indian spices . Great taste must try.,US$10.99,1,left
Indian Meals,Goat meat soup with rice and small naan,"Tender Goat meat with bones cooked with ginger garlic, various Indian spices added to give perfect goat curry flavor. Garnish with Fresh cilantro .",US$15.99,1,left
Indian Meals,Chicken Drumsticks with Rice,"Chicken Drumsticks simmer in a rich onion, tomato sauce seasoned with chilies, garlic and an array of spices. 1 serving.",US$12.99,1,left
Indian Meals,Achari Chicken Curry with Rice,"Achari Chicken (Cooked with Almonds,Cashew nuts,Walnuts and Indian spices flavored with pickling spices (Achar Masala) 1 serving",US$13.99,1,left
Indian Meals,Dal Tadka with Rice,"Dal Tadka is made with a blend of three types of healthy lentils - toor dal, moong dal and masoor dal. They are rich and creamy and then tempered with Indian spices.",US$10.99,1,left
Indian Meals,Baghare Baigan with Rice,"Eggplant cooked with gravy of sesame seeds, peanuts, tamarind, coconuts, curry leaves and tempered with whole garlic cloves, whole red chillies and cumin seeds.",US$10.99,1,left
Indian Meals,Chole Masala with Rice,"Chickpea curry cooked with onions, tomatoes and lots of spices.",US$10.99,1,left
Indian Meals,Indian Tandoori Naan Smaller in size,Indian flat bread cooked in Tandoor . And flavored with butter . Soft and fluffy .,US$1.50,1,left
Indian Meals,White Pita Bread smaller size,White Greek Pita Bread topped with butter,US$1.00,1,left
Indian Meals,Raita ! (Side order),"Raita ! Chopped onion,cucumber,carrot & cilantro mixed with yogurt and (This is a side order, not a full meal)",US$2.99,1,left
Indian Meals,Gulab jamun (Dessert),Gulab Jamun’s are deep-fried dumplings/donuts made of dried milk [khoya] are dipped in a rose-cardamom flavored sugar and honey syrup. 3 pieces for $3.99,US$3.99,1,left
Indian Meals,Plain rice,long-grain white rice,US$2.99,1,left
Indian Meals,Indian mix Pickle,"A tangy and spicy condiment, is a flavourful blend of assorted vegetables and fruits, marinated in a vibrant combination of aromatic spices, vinegar, and oil creating a zesty accompaniment to meals.",US$2.99,1,left
Indian Meals,Onions Salad(Side order),"Onions , lettuce , lemon and seasoning. (This is a side order, not a full meal)",US$1.99,1,left
Indian Meals,Whole wheat Naan small in size .,,US$1.00,1,left
Indian Meals,Mango lassi ( Desserts),Mango lassi made with mango juice and yogurt . Looks like smoothie after a spicy meal it gives you a great feeling of cooling down .,US$3.99,1,left
Indian Meals,Plain Yogurt Sauce(Side order),"Plain thick yogurt,(This is a side order, not a full meal)",US$2.99,1,left
Indian Meals,Whole Wheat Pita Bread,,US$1.00,1,left
Indian Meals,Chicken saagwala with rice,"Tender Chicken on the bone cooked with fresh spinach and with Indian spices and garnished with cilantro and fried onions . Great dish ! Very healthy , must try .",US$13.99,1,left
Indian Meals,Tomato Rasam South Indian Dish with rice,"Tomato Rasam is made with fresh tomatoes blended with cumin seeds, garlic, black , pepper , and tampered with red chilies and mustard seeds . You can have as a soup or mix with hot plain rice is a great combination .",US$9.99,1,left
Fast Food,Alex Exotic Pizza,"Large Pizza with mozzarella and pepper jack cheese, with four topping pepperoni sausages, chicken chunks beef, & shrimp",US$13.99,2,right
Fast Food,Sweet Chili Wings,Wings cooked with honey and hot peppers sauce..,,2,right
Fast Food,Lemon Pepper wings,Cooked with lemon & black pepper wings,,2,right
